RecordID,SpeciesID,Order,Family,Genus,Species,Binomial,CommonName,CountryName,AreaName1,AreaName2,LocationDescription,Realm,Island,LandType,CPrecord,IntroducedDate,IntroducedDateGrouped,MappingDate,ReferenceDate,StatusCat,IntroMethod,IntroPurpose,TaxonomicNotes,Notes,RangeMap,Reference,CompilerInitial
7,1442,Psittaciformes,Psittacidae,Strigops,habroptila,Strigops habroptila,Kakapo,NEW ZEALAND,Marlborough,Maud Island,Maud Island,Australasian,1,Oceanic.Island,0,,,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
8,1442,Psittaciformes,Psittacidae,Strigops,habroptila,Strigops habroptila,Kakapo,NEW ZEALAND,South Island NZ,Codfish Island,,Australasian,1,Oceanic.Island,0,,,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
21,1419,Psittaciformes,Psittacidae,Platycercus,eximius,Platycercus eximius,Eastern Rosella,NEW ZEALAND,Canterbury,,Banks Peninsula,Australasian,1,Oceanic.Island,1,,,1998.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{Juniper, 1998 #209}",MP
22,1442,Psittaciformes,Psittacidae,Strigops,habroptila,Strigops habroptila,Kakapo,NEW ZEALAND,North Island NZ,Little Barrier Island,,Australasian,1,Oceanic.Island,0,,,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
145,2080,Strigiformes,Tytonidae,Tyto,alba,Tyto alba,Barn Owl,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Ko?nig, 1999 #250}",MP
148,2202,Strigiformes,Strigidae,Athene,noctua,Athene noctua,Little Owl,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Ko?nig, 1999 #250}",MP
154,7831,Passeriformes,Alaudidae,Alauda,arvensis,Alauda arvensis,Eurasian Skylark,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 2004 #230}",MP
234,2413,Columbiformes,Columbidae,Stigmatopelia,chinensis,Stigmatopelia chinensis,Spotted Dove,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Gibbs, 2001 #249}",MP
321,8,Struthioniformes,Apterygidae,Apteryx,australis,Apteryx australis,Southern Brown Kiwi,NEW ZEALAND,North Island NZ,Kapiti Island,,Australasian,1,Oceanic.Island,0,,,1992.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
322,8,Struthioniformes,Apterygidae,Apteryx,australis,Apteryx australis,Southern Brown Kiwi,NEW ZEALAND,South Island NZ,,D'Urville Island,Australasian,1,Oceanic.Island,1,,,1992.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
323,8,Struthioniformes,Apterygidae,Apteryx,australis,Apteryx australis,Southern Brown Kiwi,NEW ZEALAND,Auckland,Hen Island,,Australasian,1,Oceanic.Island,1,1988,1988.0,1988.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
324,9,Struthioniformes,Apterygidae,Apteryx,owenii,Apteryx owenii,Little Spotted Kiwi,NEW ZEALAND,North Island NZ,Kapiti Island,,Australasian,1,Oceanic.Island,0,,,1992.0,,Unknown,Unknown,Unknown.Not applicable,,MP - Not sure if was introduced,Mapped,"{del Hoyo, 1992 #243}",MP
326,9,Struthioniformes,Apterygidae,Apteryx,owenii,Apteryx owenii,Little Spotted Kiwi,NEW ZEALAND,Mercury Islands,Red Mercury Island,,Australasian,1,Oceanic.Island,0,,,1992.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
327,9,Struthioniformes,Apterygidae,Apteryx,owenii,Apteryx owenii,Little Spotted Kiwi,NEW ZEALAND,Auckland,Hen Island,,Australasian,1,Oceanic.Island,0,1988,1988.0,1988.0,,Unknown,Unknown,Unknown.Not applicable,,MP - Not sure if was introduced,Mapped,"{del Hoyo, 1992 #243}",MP
335,402,Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,Wood Duck,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,1867,1867.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
338,403,Anseriformes,Anatidae,Aix,galericulata,Aix galericulata,Mandarin Duck,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,1920,1920.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
347,3599,Ciconiiformes,Ardeidae,Bubulcus,ibis,Bubulcus ibis,Cattle Egret,NEW ZEALAND,South Island NZ,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
368,9814,Psittaciformes,Psittacidae,Platycercus,elegans,Platycercus elegans,Crimson Rosella,NEW ZEALAND,Otago,,Dunedin District,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
372,1419,Psittaciformes,Psittacidae,Platycercus,eximius,Platycercus eximius,Eastern Rosella,NEW ZEALAND,Otago,,Dunedin District,Australasian,1,Oceanic.Island,1,,,1998.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{Juniper, 1998 #209}",MP
373,1419,Psittaciformes,Psittacidae,Platycercus,eximius,Platycercus eximius,Eastern Rosella,NEW ZEALAND,North Island NZ,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
385,1439,Psittaciformes,Psittacidae,Melopsittacus,undulatus,Melopsittacus undulatus,Budgerigar,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Juniper, 1998 #209}",MP
405,351,Anseriformes,Anatidae,Cygnus,olor,Cygnus olor,Mute Swan,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1992 #243}",MP
406,352,Anseriformes,Anatidae,Cygnus,atratus,Cygnus atratus,Black Swan,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1992 #243}",MP
407,352,Anseriformes,Anatidae,Cygnus,atratus,Cygnus atratus,Black Swan,NEW ZEALAND,Chatham Islands,,,Australasian,1,Oceanic.Island,0,,,1992.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
